"long";"lat";"distance";"id";"fid";"naam";"straat";"nr";"pstcd";"gem";"type"
"3.68082174850063";"51.0670195837711";"0";"kml_1";"0";"Bourgoyen";"Driepikkelstraat";"30";"9030";"Mariakerke";"Sporthal"
"3.76872261824132";"51.0376096402329";"0";"kml_2";"1";"Driebeek";"Driebeekstraat";"22";"9050";"Gentbrugge";"Sporthal"
"3.71043023671827";"51.003214547577";"0";"kml_3";"2";"Hekers";"Ter Linden";"29";"9052";"Zwijnaarde";"Sporthal"
"3.70358920030471";"51.0886307623523";"0";"kml_4";"3";"Neptunus";"Botestraat";"98";"9032";"Wondelgem";"Sporthal"
"3.76042703928017";"51.0588091751543";"0";"kml_5";"4";"Rozebroeken";"Rozebroekslag";"24";"9040";"Sint-Amandsberg";"Sporthal"
"3.72455206251269";"51.0633435462836";"0";"kml_6";"5";"Tolhuis";"Tolhuislaan";"77";"9000";"Gent";"Sporthal"
"3.76454363850854";"51.092941250632";"0";"kml_7";"6";"Wolfput";"Wolfputstraat";"92";"9041";"Oostakker";"Sporthal"
"3.7047176321211";"51.0866480085378";"0";"kml_8";"7";"Neptunus (openlucht)";"Botestraat";"100";"9032";"Wondelgem";"Zwembaden"
"3.69182586563794";"51.0590584965092";"0";"kml_9";"8";"Rooigem";"Peerstraat";"1";"9000";"Gent";"Zwembaden"
"3.76088287372297";"51.0600364026014";"0";"kml_10";"9";"Rozebroeken";"Rozebroekslag";"28";"9040";"Sint-Amandsberg";"Zwembaden"
"3.72898437347536";"51.0364721869652";"0";"kml_11";"10";"Strop";"Stropstraat";"31";"9000";"Gent";"Zwembaden"
"3.73389151294044";"51.053551237585";"0";"kml_12";"11";"Van Eyck";"Veermanplein";"1";"9000";"Gent";"Zwembaden"
"3.71539242420018";"51.0759912713685";"0";"kml_13";"12";"Jan Yoens";"Dracenastraat";"8";"9000";"Gent";"Buitensporten"
"3.68214560460972";"51.0470593176624";"0";"kml_14";"13";"Tennishal";"Zuiderlaan";"10";"9000";"Gent";"Buitensporten"
"3.64170838297324";"51.0457007618734";"0";"kml_15";"14";"Keiskant";"Keiskantstraat";"3";"9031";"Drongen";"Sporthal"
"3.76665267371456";"51.0837203408005";"0";"kml_16";"15";"Rosas";"Sint-Jozefstraat";"7";"9041";"Oostakker";"Zwembaden"
"3.68806627865641";"51.0444176980839";"0";"kml_17";"16";"Blaarmeersen";"Zuiderlaan";"5";"9000";"Gent";"Buitensporten"
"3.68046305985085";"51.0463595342927";"0";"kml_18";"17";"Camping";"Zuiderlaan";"12";"9000";"Gent";"Buitensporten"
